DATE,BOGMBASE,CPIAUCSL,FEDFUNDS,M1SL,M2SL
1959-01-01,50500,29.010,2.48,138.9,286.6
1959-02-01,49800,29.000,2.43,139.4,287.7
1959-03-01,49700,28.970,2.80,139.7,289.2
1959-04-01,50100,28.980,2.96,139.7,290.1
1959-05-01,50100,29.040,2.90,140.7,292.2
1959-06-01,50300,29.110,3.39,141.2,294.1
1959-07-01,50800,29.150,3.47,141.7,295.2
1959-08-01,50700,29.180,3.50,141.9,296.4
1959-09-01,50700,29.250,3.76,141.0,296.7
1959-10-01,50700,29.350,3.98,140.5,296.5
1959-11-01,50900,29.350,4.00,140.4,297.1
1959-12-01,51500,29.410,3.99,139.9,297.8
1960-01-01,50700,29.370,3.99,140.0,298.2
1960-02-01,49600,29.410,3.97,139.9,298.4
1960-03-01,49500,29.410,3.84,139.8,299.3
1960-04-01,49700,29.540,3.92,139.6,300.1
1960-05-01,49700,29.570,3.85,139.6,300.9
1960-06-01,50000,29.610,3.32,139.6,302.3
1960-07-01,50500,29.550,3.23,140.2,304.1
1960-08-01,50300,29.610,2.98,141.3,306.9
1960-09-01,49900,29.610,2.60,141.2,308.4
1960-10-01,50100,29.750,2.47,140.9,309.5
1960-11-01,50300,29.780,2.44,140.9,310.9
1960-12-01,49800,29.810,1.98,140.7,312.4
1961-01-01,49100,29.840,1.45,141.1,314.1
1961-02-01,48400,29.840,2.54,141.6,316.5
1961-03-01,48400,29.840,2.02,141.9,318.3
1961-04-01,48500,29.810,1.49,142.1,319.9
1961-05-01,48500,29.840,1.98,142.7,322.2
1961-06-01,48900,29.840,1.73,142.9,324.3
1961-07-01,49200,29.920,1.17,142.9,325.6
1961-08-01,49300,29.940,2.00,143.5,327.6
1961-09-01,49600,29.980,1.88,143.8,329.5
1961-10-01,50000,29.980,2.26,144.1,331.1
1961-11-01,50500,29.980,2.61,144.8,333.4
1961-12-01,51300,30.010,2.33,145.2,335.5
1962-01-01,50600,30.040,2.15,145.2,337.5
1962-02-01,49800,30.110,2.37,145.7,340.1
1962-03-01,50000,30.170,2.85,146.0,343.1
1962-04-01,50400,30.210,2.78,146.4,345.5
1962-05-01,50500,30.240,2.36,146.8,347.5
1962-06-01,50900,30.210,2.68,146.6,349.3
1962-07-01,51300,30.220,2.71,146.5,350.8
1962-08-01,51200,30.280,2.93,146.6,352.8
1962-09-01,51300,30.420,2.90,146.3,354.9
1962-10-01,51600,30.380,2.90,146.7,357.2
1962-11-01,51300,30.380,2.94,147.3,359.8
1962-12-01,52300,30.380,2.93,147.8,362.7
1963-01-01,51600,30.440,2.92,148.3,365.2
1963-02-01,51000,30.480,3.00,148.9,367.9
1963-03-01,51200,30.510,2.98,149.2,370.7
1963-04-01,51500,30.480,2.90,149.7,373.3
1963-05-01,51700,30.510,3.00,150.4,376.1
1963-06-01,52200,30.610,2.99,150.4,378.4
1963-07-01,52800,30.690,3.02,151.3,381.1
1963-08-01,52600,30.750,3.49,151.8,383.6
