"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2011"	"2011"	"Female"	"F"	"< 1 year"	"1"	10	1952827	Unreliable
	"2011"	"2011"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	7909731	Suppressed
	"2011"	"2011"	"Female"	"F"	"5-14 years"	"5-14"	17	20067831	Unreliable
	"2011"	"2011"	"Female"	"F"	"15-24 years"	"15-24"	24	21366229	0.1
	"2011"	"2011"	"Female"	"F"	"25-34 years"	"25-34"	46	20746335	0.2
	"2011"	"2011"	"Female"	"F"	"35-44 years"	"35-44"	54	20404484	0.3
	"2011"	"2011"	"Female"	"F"	"45-54 years"	"45-54"	70	22698956	0.3
	"2011"	"2011"	"Female"	"F"	"55-64 years"	"55-64"	96	19703935	0.5
	"2011"	"2011"	"Female"	"F"	"65-74 years"	"65-74"	89	12005425	0.7
	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	116	7602197	1.5
	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	322	3843148	8.4
	"2011"	"2011"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2011"	"2011"	"Male"	"M"	"< 1 year"	"1"	14	2043710	Unreliable
	"2011"	"2011"	"Male"	"M"	"1-4 years"	"1-4"	13	8255790	Unreliable
	"2011"	"2011"	"Male"	"M"	"5-14 years"	"5-14"	17	20971217	Unreliable
	"2011"	"2011"	"Male"	"M"	"15-24 years"	"15-24"	30	22431646	0.1
	"2011"	"2011"	"Male"	"M"	"25-34 years"	"25-34"	46	21044163	0.2
	"2011"	"2011"	"Male"	"M"	"35-44 years"	"35-44"	41	20223470	0.2
	"2011"	"2011"	"Male"	"M"	"45-54 years"	"45-54"	96	22019247	0.4
	"2011"	"2011"	"Male"	"M"	"55-64 years"	"55-64"	108	18358205	0.6
	"2011"	"2011"	"Male"	"M"	"65-74 years"	"65-74"	68	10476313	0.6
	"2011"	"2011"	"Male"	"M"	"75-84 years"	"75-84"	87	5573033	1.6
	"2011"	"2011"	"Male"	"M"	"85+ years"	"85+"	159	1894025	8.4
	"2011"	"2011"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2012"	"2012"	"Female"	"F"	"< 1 year"	"1"	Suppressed	1926339	Suppressed
	"2012"	"2012"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	7856870	Suppressed
	"2012"	"2012"	"Female"	"F"	"5-14 years"	"5-14"	18	20118347	Unreliable
	"2012"	"2012"	"Female"	"F"	"15-24 years"	"15-24"	Suppressed	21431588	Suppressed
	"2012"	"2012"	"Female"	"F"	"25-34 years"	"25-34"	14	20970529	Unreliable
	"2012"	"2012"	"Female"	"F"	"35-44 years"	"35-44"	14	20342813	Unreliable
	"2012"	"2012"	"Female"	"F"	"45-54 years"	"45-54"	37	22461868	0.2
	"2012"	"2012"	"Female"	"F"	"55-64 years"	"55-64"	47	19983308	0.2
	"2012"	"2012"	"Female"	"F"	"65-74 years"	"65-74"	58	12782530	0.5
	"2012"	"2012"	"Female"	"F"	"75-84 years"	"75-84"	103	7624484	1.4
	"2012"	"2012"	"Female"	"F"	"85+ years"	"85+"	324	3923297	8.3
	"2012"	"2012"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2012"	"2012"	"Male"	"M"	"< 1 year"	"1"	Suppressed	2016738	Suppressed
	"2012"	"2012"	"Male"	"M"	"1-4 years"	"1-4"	14	8199397	Unreliable
	"2012"	"2012"	"Male"	"M"	"5-14 years"	"5-14"	12	21026407	Unreliable
	"2012"	"2012"	"Male"	"M"	"15-24 years"	"15-24"	10	22512317	Unreliable
	"2012"	"2012"	"Male"	"M"	"25-34 years"	"25-34"	10	21338792	Unreliable
	"2012"	"2012"	"Male"	"M"	"35-44 years"	"35-44"	15	20173607	Unreliable
	"2012"	"2012"	"Male"	"M"	"45-54 years"	"45-54"	30	21806870	0.1
	"2012"	"2012"	"Male"	"M"	"55-64 years"	"55-64"	41	18602894	0.2
	"2012"	"2012"	"Male"	"M"	"65-74 years"	"65-74"	53	11202862	0.5
	"2012"	"2012"	"Male"	"M"	"75-84 years"	"75-84"	108	5648150	1.9
	"2012"	"2012"	"Male"	"M"	"85+ years"	"85+"	176	1964033	9.0
	"2012"	"2012"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2013"	"2013"	"Female"	"F"	"< 1 year"	"1"	Suppressed	1925056	Suppressed
	"2013"	"2013"	"Female"	"F"	"1-4 years"	"1-4"	15	7790614	Unreliable
	"2013"	"2013"	"Female"	"F"	"5-14 years"	"5-14"	28	20159538	0.1
	"2013"	"2013"	"Female"	"F"	"15-24 years"	"15-24"	20	21429247	0.1
	"2013"	"2013"	"Female"	"F"	"25-34 years"	"25-34"	39	21203096	0.2
	"2013"	"2013"	"Female"	"F"	"35-44 years"	"35-44"	72	20307429	0.4
	"2013"	"2013"	"Female"	"F"	"45-54 years"	"45-54"	105	22198448	0.5
	"2013"	"2013"	"Female"	"F"	"55-64 years"	"55-64"	173	20359676	0.8
	"2013"	"2013"	"Female"	"F"	"65-74 years"	"65-74"	190	13419124	1.4
	"2013"	"2013"	"Female"	"F"	"75-84 years"	"75-84"	362	7686002	4.7
	"2013"	"2013"	"Female"	"F"	"85+ years"	"85+"	989	3999007	24.7
	"2013"	"2013"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2013"	"2013"	"Male"	"M"	"< 1 year"	"1"	13	2016727	Unreliable
	"2013"	"2013"	"Male"	"M"	"1-4 years"	"1-4"	17	8135691	Unreliable
	"2013"	"2013"	"Male"	"M"	"5-14 years"	"5-14"	33	21061497	0.2
	"2013"	"2013"	"Male"	"M"	"15-24 years"	"15-24"	26	22525155	0.1
	"2013"	"2013"	"Male"	"M"	"25-34 years"	"25-34"	38	21641491	0.2
	"2013"	"2013"	"Male"	"M"	"35-44 years"	"35-44"	79	20145261	0.4
	"2013"	"2013"	"Male"	"M"	"45-54 years"	"45-54"	145	21569084	0.7
	"2013"	"2013"	"Male"	"M"	"55-64 years"	"55-64"	201	18956755	1.1
	"2013"	"2013"	"Male"	"M"	"65-74 years"	"65-74"	211	11797642	1.8
	"2013"	"2013"	"Male"	"M"	"75-84 years"	"75-84"	331	5760517	5.7
	"2013"	"2013"	"Male"	"M"	"85+ years"	"85+"	603	2041782	29.5
	"2013"	"2013"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2014"	"2014"	"Female"	"F"	"< 1 year"	"1"	15	1930493	Unreliable
	"2014"	"2014"	"Female"	"F"	"1-4 years"	"1-4"	18	7790662	Unreliable
	"2014"	"2014"	"Female"	"F"	"5-14 years"	"5-14"	25	20161424	0.1
	"2014"	"2014"	"Female"	"F"	"15-24 years"	"15-24"	21	21456371	0.1
	"2014"	"2014"	"Female"	"F"	"25-34 years"	"25-34"	84	21546290	0.4
	"2014"	"2014"	"Female"	"F"	"35-44 years"	"35-44"	173	20353904	0.8
	"2014"	"2014"	"Female"	"F"	"45-54 years"	"45-54"	277	22033807	1.3
	"2014"	"2014"	"Female"	"F"	"55-64 years"	"55-64"	384	20755699	1.9
	"2014"	"2014"	"Female"	"F"	"65-74 years"	"65-74"	284	14049245	2.0
	"2014"	"2014"	"Female"	"F"	"75-84 years"	"75-84"	354	7789312	4.5
	"2014"	"2014"	"Female"	"F"	"85+ years"	"85+"	697	4053362	17.2
	"2014"	"2014"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2014"	"2014"	"Male"	"M"	"< 1 year"	"1"	15	2017857	Unreliable
	"2014"	"2014"	"Male"	"M"	"1-4 years"	"1-4"	21	8137871	0.3
	"2014"	"2014"	"Male"	"M"	"5-14 years"	"5-14"	28	21029648	0.1
	"2014"	"2014"	"Male"	"M"	"15-24 years"	"15-24"	33	22523450	0.1
	"2014"	"2014"	"Male"	"M"	"25-34 years"	"25-34"	81	21970214	0.4
	"2014"	"2014"	"Male"	"M"	"35-44 years"	"35-44"	177	20159229	0.9
	"2014"	"2014"	"Male"	"M"	"45-54 years"	"45-54"	306	21425044	1.4
	"2014"	"2014"	"Male"	"M"	"55-64 years"	"55-64"	516	19321882	2.7
	"2014"	"2014"	"Male"	"M"	"65-74 years"	"65-74"	334	12349045	2.7
	"2014"	"2014"	"Male"	"M"	"75-84 years"	"75-84"	361	5893378	6.1
	"2014"	"2014"	"Male"	"M"	"85+ years"	"85+"	401	2108869	19.0
	"2014"	"2014"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2015"	"2015"	"Female"	"F"	"< 1 year"	"1"	12	1942904	Unreliable
	"2015"	"2015"	"Female"	"F"	"1-4 years"	"1-4"	15	7786776	Unreliable
	"2015"	"2015"	"Female"	"F"	"5-14 years"	"5-14"	16	20129986	Unreliable
	"2015"	"2015"	"Female"	"F"	"15-24 years"	"15-24"	16	21382495	Unreliable
	"2015"	"2015"	"Female"	"F"	"25-34 years"	"25-34"	25	21838064	0.1
	"2015"	"2015"	"Female"	"F"	"35-44 years"	"35-44"	32	20386206	0.2
	"2015"	"2015"	"Female"	"F"	"45-54 years"	"45-54"	71	21889385	0.3
	"2015"	"2015"	"Female"	"F"	"55-64 years"	"55-64"	185	21163072	0.9
	"2015"	"2015"	"Female"	"F"	"65-74 years"	"65-74"	305	14658169	2.1
	"2015"	"2015"	"Female"	"F"	"75-84 years"	"75-84"	655	7899603	8.3
	"2015"	"2015"	"Female"	"F"	"85+ years"	"85+"	1782	4112863	43.3
	"2015"	"2015"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2015"	"2015"	"Male"	"M"	"< 1 year"	"1"	Suppressed	2035134	Suppressed
	"2015"	"2015"	"Male"	"M"	"1-4 years"	"1-4"	16	8142467	Unreliable
	"2015"	"2015"	"Male"	"M"	"5-14 years"	"5-14"	16	20979520	Unreliable
	"2015"	"2015"	"Male"	"M"	"15-24 years"	"15-24"	13	22465721	Unreliable
	"2015"	"2015"	"Male"	"M"	"25-34 years"	"25-34"	23	22299138	0.1
	"2015"	"2015"	"Male"	"M"	"35-44 years"	"35-44"	30	20203577	0.1
	"2015"	"2015"	"Male"	"M"	"45-54 years"	"45-54"	82	21298776	0.4
	"2015"	"2015"	"Male"	"M"	"55-64 years"	"55-64"	155	19714747	0.8
	"2015"	"2015"	"Male"	"M"	"65-74 years"	"65-74"	297	12892348	2.3
	"2015"	"2015"	"Male"	"M"	"75-84 years"	"75-84"	561	6023571	9.3
	"2015"	"2015"	"Male"	"M"	"85+ years"	"85+"	938	2174298	43.1
	"2015"	"2015"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2016"	"2016"	"Female"	"F"	"< 1 year"	"1"	Suppressed	1939667	Suppressed
	"2016"	"2016"	"Female"	"F"	"1-4 years"	"1-4"	18	7800517	Unreliable
	"2016"	"2016"	"Female"	"F"	"5-14 years"	"5-14"	19	20099377	Unreliable
	"2016"	"2016"	"Female"	"F"	"15-24 years"	"15-24"	23	21218116	0.1
	"2016"	"2016"	"Female"	"F"	"25-34 years"	"25-34"	45	22077505	0.2
	"2016"	"2016"	"Female"	"F"	"35-44 years"	"35-44"	65	20317393	0.3
	"2016"	"2016"	"Female"	"F"	"45-54 years"	"45-54"	177	21680540	0.8
	"2016"	"2016"	"Female"	"F"	"55-64 years"	"55-64"	243	21464106	1.1
	"2016"	"2016"	"Female"	"F"	"65-74 years"	"65-74"	224	15239221	1.5
	"2016"	"2016"	"Female"	"F"	"75-84 years"	"75-84"	262	8056660	3.3
	"2016"	"2016"	"Female"	"F"	"85+ years"	"85+"	394	4155488	9.5
	"2016"	"2016"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2016"	"2016"	"Male"	"M"	"< 1 year"	"1"	Suppressed	2030478	Suppressed
	"2016"	"2016"	"Male"	"M"	"1-4 years"	"1-4"	10	8156375	Unreliable
	"2016"	"2016"	"Male"	"M"	"5-14 years"	"5-14"	20	20948655	0.1
	"2016"	"2016"	"Male"	"M"	"15-24 years"	"15-24"	15	22292911	Unreliable
	"2016"	"2016"	"Male"	"M"	"25-34 years"	"25-34"	39	22599738	0.2
	"2016"	"2016"	"Male"	"M"	"35-44 years"	"35-44"	107	20152763	0.5
	"2016"	"2016"	"Male"	"M"	"45-54 years"	"45-54"	167	21106139	0.8
	"2016"	"2016"	"Male"	"M"	"55-64 years"	"55-64"	322	19999038	1.6
	"2016"	"2016"	"Male"	"M"	"65-74 years"	"65-74"	265	13391109	2.0
	"2016"	"2016"	"Male"	"M"	"75-84 years"	"75-84"	221	6176874	3.6
	"2016"	"2016"	"Male"	"M"	"85+ years"	"85+"	256	2224843	11.5
	"2016"	"2016"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2017"	"2017"	"Female"	"F"	"< 1 year"	"1"	Suppressed	1924145	Suppressed
	"2017"	"2017"	"Female"	"F"	"1-4 years"	"1-4"	13	7818747	Unreliable
