"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2011"	"2011"	"Female"	"F"	Suppressed	314207	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2011"	"2011"	"Male"	"M"	Suppressed	328952	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2012"	"2012"	"Female"	"F"	Suppressed	308475	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2012"	"2012"	"Male"	"M"	Suppressed	323135	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2013"	"2013"	"Female"	"F"	Suppressed	312646	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2013"	"2013"	"Male"	"M"	Suppressed	327763	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2014"	"2014"	"Female"	"F"	Suppressed	312023	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2014"	"2014"	"Male"	"M"	Suppressed	326068	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2015"	"2015"	"Female"	"F"	Suppressed	310761	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2015"	"2015"	"Male"	"M"	Suppressed	325571	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2016"	"2016"	"Female"	"F"	Suppressed	305759	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2016"	"2016"	"Male"	"M"	Suppressed	320881	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2017"	"2017"	"Female"	"F"	Suppressed	304386	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2017"	"2017"	"Male"	"M"	Suppressed	319058	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	Suppressed	297991	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	Suppressed	312417	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	Suppressed	294771	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2019"	"2019"	"Male"	"M"	Suppressed	308930	Suppressed
